analysis_id,b24x2w33bkr5010
gene_accession_id,MGI:1915678
parameter_id,MGP_PBI_035_001
parameter_name,IgD+ mature B cell number
pvalue,0.5835695
gene_symbol,Steap3
mouse_life_stage,Early adult
mouse_strain,C57BL
