analysis_id,nt31817l13j0zv2
pvalue,0.08790402
gene_accession_id,MGI:2673000
mouse_strain,C57BL
parameter_id,IMPC_HEM_008_001
mouse_life_stage,Early adult
parameter_name,Platelet count
gene_symbol,Trim46
