analysis_id,9x3p4n1gp476717
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915033
parameter_id,M-G-P_026_001_004
parameter_name,Coat colouration
gene_symbol,Ahctf1
pvalue,0.9305457
