analysis_id,01jj7p431qt1441
gene_accession_id,MGI:1921262
parameter_name,Whole arena resting time
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_007_001
gene_symbol,Rap2b
mouse_strain,C57BL
pvalue,0.8291644
