gene_symbol,Tubb4b
gene_accession_id,MGI:1915472
pvalue,0.8315986
mouse_strain,C57BL
parameter_name,Coat - color pattern - back
parameter_id,HRWLLA_CSD_008_001
mouse_life_stage,Early adult
analysis_id,41n2u1y82219fv1
