analysis_id,go6p524f6571q4k
gene_accession_id,MGI:1921493
pvalue,0.5296595
gene_symbol,Slx4ip
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_010_001
parameter_name,Phosphorus
mouse_strain,C57BL
