analysis_id,5oxlh35464w32qz
gene_symbol,Eprs1
gene_accession_id,MGI:97838
parameter_name,Total cholesterol
pvalue,0.2491934
mouse_life_stage,E12.5
parameter_id,HMGULA_CBC_015_001
mouse_strain,C57BL
