analysis_id,f79l2155y0h49s0
pvalue,0.2302215
gene_accession_id,MGI:2444114
gene_symbol,Zcchc2
parameter_name,RR
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_004_001
