analysis_id,6331mu51w29s85x
parameter_id,IMPC_XRY_021_001
gene_accession_id,MGI:1913284
gene_symbol,Psmd14
mouse_strain,C57BL
pvalue,0.5109252
mouse_life_stage,Early adult
parameter_name,Humerus
