parameter_name,LDL-cholesterol
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_025_001
pvalue,0.9543109
gene_symbol,Dcaf12
gene_accession_id,MGI:1916220
analysis_id,n3bj4r66e0fatwe
