analysis_id,9zay48lozgg8n4x
parameter_id,IMPC_ACS_035_001
parameter_name,% Pre-pulse inhibition - PPI3
gene_symbol,Casq1
pvalue,0.6130157
mouse_life_stage,Early adult
gene_accession_id,MGI:1309468
mouse_strain,C57BL
