analysis_id,52o902ew72pow05
mouse_life_stage,Early adult
gene_accession_id,MGI:3650254
parameter_id,ESLIM_011_001_010
gene_symbol,Zfp683
pvalue,0.2307416
parameter_name,PP4 + pulse startle magnitude
mouse_strain,C57BL
