gene_symbol,Ppm1j
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Red blood cell count
pvalue,0.5617438
analysis_id,0lo6497l548wx50
parameter_id,ESLIM_016_001_002
gene_accession_id,MGI:1919137
