gene_symbol,Sgip1
parameter_name,MZB (CD21/35 high)
parameter_id,IMPC_IMM_071_001
analysis_id,9tc2461obj576xg
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4598646
gene_accession_id,MGI:1920344
