analysis_id,p65e18149vsqx6f
parameter_name,Tibia length
mouse_strain,C57BL
pvalue,0.2809267
mouse_life_stage,Early adult
parameter_id,TCPLA_XRY_033_001
gene_symbol,Ubxn11
gene_accession_id,MGI:1914836
