parameter_name,Eye
pvalue,0.8985096
analysis_id,3e8422l41gc8r57
mouse_strain,C57BL
parameter_id,M-G-P_014_001_001
gene_accession_id,MGI:1309468
gene_symbol,Casq1
mouse_life_stage,Early adult
