gene_symbol,Maco1
mouse_life_stage,Early adult
parameter_id,MGP_IMM_017_001
gene_accession_id,MGI:1913396
mouse_strain,C57BL
pvalue,0.7916141
analysis_id,6aq63z7h14pzye9
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
