parameter_name,Follicular B Cells (CD21/35+)
gene_symbol,Fpgs
parameter_id,IMPC_IMM_067_001
gene_accession_id,MGI:95576
mouse_life_stage,Early adult
analysis_id,x4m971pz0a07d26
mouse_strain,C57BL
pvalue,0.5213285
