analysis_id,936kxa4l4o9i52f
gene_accession_id,MGI:1921688
parameter_id,M-G-P_005_001_004
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5686651
gene_symbol,Clvs1
parameter_name,Bone Mineral Density (excluding skull)
