parameter_name,QT
pvalue,0.7046593
mouse_life_stage,Early adult
analysis_id,033inm8eozoj48y
gene_symbol,Rab17
gene_accession_id,MGI:104640
mouse_strain,C57BL
parameter_id,IMPC_ECG_028_001
