gene_symbol,Cpa3
gene_accession_id,MGI:88479
analysis_id,tw1i137399jk81r
mouse_life_stage,Early adult
parameter_name,BMC/Body weight
parameter_id,IMPC_DXA_007_001
pvalue,0.5605023
mouse_strain,C57BL
