gene_symbol,Arpc2
parameter_name,Total cholesterol
analysis_id,n389066tr20wh7m
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_015_001
pvalue,0.6542795
gene_accession_id,MGI:1923959
