parameter_name,Eye
mouse_strain,C57BL
pvalue,0.5188672
analysis_id,4925dr4bw992r60
gene_accession_id,MGI:2444554
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_001
gene_symbol,Mapkap1
