parameter_name,NK Subsets (Q2)
gene_symbol,Hrnr
parameter_id,IMPC_IMM_055_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3046938
mouse_strain,C57BL
analysis_id,n9jq2tm978n8ex9
pvalue,0.8776989
