gene_symbol,Il1r1
mouse_life_stage,Early adult
analysis_id,dnkdf933t2zfu7s
parameter_id,IMPC_CSD_007_001
pvalue,0.7507
parameter_name,Coat - color - abdomen
mouse_strain,C57BL
gene_accession_id,MGI:96545
