analysis_id,30a0gr5bv1t95w6
parameter_id,HRWLLA_CBC_014_001
gene_accession_id,MGI:2181659
gene_symbol,Tox
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4834175
parameter_name,Alkaline phosphatase
