gene_symbol,Slx4ip
mouse_strain,C57BL
analysis_id,94fnj4ttuu8l4lf
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
parameter_id,MGP_PBI_030_001
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
pvalue,0.9581511
