analysis_id,wjec7t5n72pun2z
pvalue,0.4633644
gene_accession_id,MGI:1336200
parameter_id,IMPC_IMM_051_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_name,Monocytes
gene_symbol,Hpca
