parameter_id,TCPLA_CSD_030_001
pvalue,0.3042187
gene_accession_id,MGI:1338022
analysis_id,gij3gkbo779d455
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Tremor
gene_symbol,Opn3
