parameter_name,DN CD44+CD62L- NKT cells
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_046_001
pvalue,0.05672813
analysis_id,13q66azd8308l83
