gene_symbol,Sass6
mouse_strain,C57BL
pvalue,0.246028
parameter_id,JAX_URI_002_001
parameter_name,Creatinine
mouse_life_stage,E9.5
analysis_id,gg57f31wva605v4
gene_accession_id,MGI:1920026
