analysis_id,3ky7s1652a37coc
Parameter_id,HMGULA_CBC_018_001
pvalue,0.5676129
gene_accession_id,MGI:1927232
gene_symbol,Rab13
Parameter_name,Glucose
mouse_life_stage,Early adult
mouse_strain,C57BL
