analysis_id,2010798yg9ot11q
mouse_life_stage,Early adult
gene_symbol,Ubxn11
parameter_id,HRWLLA_OFD_011_001
gene_accession_id,MGI:1914836
pvalue,0.8170213
mouse_strain,C57BL
parameter_name,Periphery resting time
