analysis_id,rp1dfo9dl88nrt9
mouse_strain,C57BL
pvalue,0.683097
gene_symbol,Slc30a4
parameter_id,IMPC_ACS_033_001
mouse_life_stage,Late adult
gene_accession_id,MGI:1345282
parameter_name,% Pre-pulse inhibition - PPI1
