parameter_name,Monocytes
analysis_id,80y2q7q733h416j
pvalue,0.9359415
gene_symbol,Hrnr
parameter_id,IMPC_IMM_051_001
gene_accession_id,MGI:3046938
mouse_strain,C57BL
mouse_life_stage,Early adult
