parameter_id,IMPC_OWT_004_001
analysis_id,n88m7j373jg7b7r
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cdin1
pvalue,0.8966604
gene_accession_id,MGI:3026886
parameter_name,Right kidney weight
