gene_symbol,Ifi44
parameter_name,% Pre-pulse inhibition - PPI1
analysis_id,zo0q9537bf6nnk3
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ACS_033_001
gene_accession_id,MGI:2443016
pvalue,0.2754303
