parameter_name,Chloride
analysis_id,92baed0em60bqc2
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
pvalue,0.5027551
gene_symbol,Ddx27
parameter_id,HMGULA_CBC_003_001
