parameter_id,MGP_IMM_014_001
analysis_id,ry0kfotyeg177d3
mouse_life_stage,E9.5
parameter_name,Effector CD8+ T cells - % of CD8+
gene_symbol,Hspa5
mouse_strain,C57BL
gene_accession_id,MGI:95835
pvalue,0.102407
