parameter_name,Hindlimbs - size
mouse_strain,C57BL
analysis_id,e08tf8bj9q54m66
mouse_life_stage,Early adult
pvalue,0.1643693
parameter_id,JAXLA_CSD_022_001
gene_symbol,AU040320
gene_accession_id,MGI:2140475
