analysis_id,p4w7yo96j0294vr
gene_symbol,Slc30a4
pvalue,0.8934156
mouse_life_stage,Middle aged adult
parameter_id,JAXLA_DXA_007_001
gene_accession_id,MGI:1345282
mouse_strain,C57BL
parameter_name,BMC/Body weight
