parameter_name,Pale yolk sac
mouse_life_stage,Early adult
analysis_id,ic4t8952qxhcn5r
gene_accession_id,MGI:88174
parameter_id,IMPC_GEL_017_002
pvalue,0.6579349
mouse_strain,C57BL
gene_symbol,Bmi1
