analysis_id,imnmq99s8644sms
gene_accession_id,MGI:95457
mouse_life_stage,Early adult
pvalue,0.8011586
parameter_name,Neutrophil cell count
mouse_strain,C3H
parameter_id,IMPC_HEM_030_001
gene_symbol,Mecom
