analysis_id,lq0t0xmk95s8967
parameter_id,IMPC_CSD_011_001
gene_symbol,Extl1
parameter_name,Coat - hair distribution - back
pvalue,0.1210378
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1888742
