parameter_name,Fat mass
parameter_id,IMPC_DXA_002_001
gene_accession_id,MGI:1916363
analysis_id,b99y666a8hy7c01
mouse_strain,C57BL
pvalue,0.4078138
gene_symbol,Alkbh3
mouse_life_stage,Early adult
