mouse_strain,C3H
pvalue,0.1893142
parameter_name,CD11b-low cDC - % of cDC
analysis_id,65br8p1wy3z55h1
gene_symbol,Mecom
parameter_id,MGP_IMM_067_001
gene_accession_id,MGI:95457
mouse_life_stage,Early adult
