analysis_id,jy5npmk3875fy33
gene_symbol,Rap2b
parameter_id,HMGULA_HWT_008_001
gene_accession_id,MGI:1921262
pvalue,0.7846501
parameter_name,Heart weight
mouse_strain,C57BL
mouse_life_stage,Early adult
