parameter_id,JAXLA_DXA_007_001
mouse_life_stage,Early adult
gene_symbol,Mapkap1
parameter_name,BMC/Body weight
pvalue,0.3006753
gene_accession_id,MGI:2444554
analysis_id,40x1091yl604cu3
mouse_strain,C57BL
