parameter_name,Forebrain
gene_symbol,Nemp2
gene_accession_id,MGI:2444113
pvalue,0.5951544
analysis_id,gr93j68n660f9xc
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_GEL_028_001
