analysis_id,12o2pj3kp7249h4
mouse_strain,C57BL
gene_accession_id,MGI:1922855
parameter_name,Vibrissae - appearance
parameter_id,HMGULA_DYS_024_001
gene_symbol,Kdm5b
pvalue,0.1370223
mouse_life_stage,Early adult
