parameter_name,MZB (CD21/35 high)
gene_accession_id,MGI:1914583
analysis_id,hu441y7x360cx78
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_071_001
gene_symbol,Stk35
pvalue,0.3795673
