parameter_id,JAXLA_CSD_039_001
gene_symbol,AU040320
analysis_id,t4h907v94yj5hk0
parameter_name,Limb grasp
mouse_strain,C57BL
pvalue,2.118335e-13
mouse_life_stage,Late adult
gene_accession_id,MGI:2140475
