parameter_name,Retinal Blood Vessels Structure
mouse_strain,C57BL
gene_accession_id,MGI:88174
parameter_id,IMPC_EYE_025_001
gene_symbol,Bmi1
mouse_life_stage,E12.5
Pvalue,0.5220779
Analysis_id,ak1s1n10bppnvp8
