analysis_id,df97o8943tpebcr
pvalue,0.576402
gene_accession_id,MGI:1914672
mouse_strain,C57BL
parameter_id,CCP_LFO_001_001
gene_symbol,Dhdds
mouse_life_stage,Early adult
parameter_name,Weight
