gene_symbol,Frmpd1
parameter_id,IMPC_XRY_066_001
pvalue,0.8947877
mouse_strain,C57BL
parameter_name,Sacral processes
gene_accession_id,MGI:2446274
mouse_life_stage,Late adult
analysis_id,brp1z6anh983ie2
