parameter_name,Hindlimb nail - number
analysis_id,a67iwtuc8e7f17k
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
gene_symbol,Rhbg
mouse_strain,C57BL
pvalue,0.1533201
parameter_id,IMPC_CSD_051_002
