analysis_id,t765qxg3gosi0od
parameter_name,12kHz-evoked ABR Threshold
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_006_001
gene_symbol,Rhbg
mouse_strain,C57BL
pvalue,0.5865901
gene_accession_id,MGI:1927379
