gene_symbol,Rgs20
gene_accession_id,MGI:1929866
parameter_name,Creatinine
analysis_id,eyy1j7e25leugl4
pvalue,0.4805239
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_URI_002_001
