parameter_name,Red blood cell count
analysis_id,4ro8bf58k52io42
mouse_strain,C57BL
gene_accession_id,MGI:2446274
parameter_id,IMPC_HEM_002_001
gene_symbol,Frmpd1
mouse_life_stage,Early adult
pvalue,0.9417565
