gene_symbol,Pex19
analysis_id,be5j3px19yd198y
mouse_strain,C57BL
mouse_life_stage,E18.5
gene_accession_id,MGI:1334458
pvalue,0.1583302
parameter_name,cDCs CD11b Type
parameter_id,IMPC_IMM_073_001
