parameter_name,Global prepulse inhibition
pvalue,0.5911464
mouse_strain,C57BL
parameter_id,ESLIM_011_001_705
analysis_id,nppx6ay4q01x717
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
mouse_life_stage,Early adult
