parameter_name,Periphery resting time
mouse_life_stage,E18.5
gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
analysis_id,7538jx01v0azo40
mouse_strain,C57BL
pvalue,0.122636
parameter_id,HRWLLA_OFD_011_001
