parameter_name,DN NKT cells
pvalue,0.2485014
mouse_life_stage,E9.5
gene_symbol,Bcs1l
parameter_id,IMPC_IMM_013_001
mouse_strain,C57BL
gene_accession_id,MGI:1914071
analysis_id,031bsvvi52a8sme
