parameter_name,PR
analysis_id,8n05p0to09f1xy0
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:109356
pvalue,0.7567246
gene_symbol,Snap23
mouse_strain,C57BL
parameter_id,IMPC_ECG_006_001
